,text
5583,@rkalia80 @NitinKumar126 @TimesNow @the_hindu @HT_UttarPradesh @ArvindKejriwal @ndtv @ANI
5584,"@SwiggyCares 
With respect to Order #19319219714, according to Swiggy invoice, I had paid you 176 throw AmazonPay a… https://t.co/qxlQ9uE1b8"
5585,@ZomatoIN @Zomato @faasos @Help_at_Faasos @faasos such a poor delivery system and irresponsible behaviour. Order wa… https://t.co/jz1yjRGom5
5586,"@BindiyaChotrani @ZomatoIN @ZomatoGold @zomatocare @Zomato Hi Bawse, that really should have not happened. Request… https://t.co/78m68L1cDS"
5587,Still working RT and Share
5588,"What's for lunch today?
Visit us @ Lake Terrace Tower, Cluster D, JLT
Order via Zomato/Talabat app or Call us @ 04-… https://t.co/ES8MSh9wfw"
5589,RT @BestLootDeal: Still working RT and Share https://t.co/0T88xjOBTZ
5590,"Can this get more ridiculous!
In the past less than a day, 4 of my orders have been cancelled by the restaurant. It… https://t.co/4A0MZE2KQC"
5591,@foodpandaIndia @sureshpprabhu @CPDelhi @the_hindu @htTweets @TOIIndiaNews @republic @ndtv @aajtak @SrBachchan… https://t.co/9hedaf4LQm
5592,"@ThisHungryPanda @swiggy_in @ZomatoIN Some replies to this include swiggy deliveries with zomato tape, so looks lik… https://t.co/nhvAG7GhFE"
5593,"RT @uaeanandabhavan: What's for lunch today?
Visit us @ Lake Terrace Tower, Cluster D, JLT
Order via Zomato/Talabat app or Call us @ 04-276…"
5594,First review on Zomato... So excited.... https://t.co/BKMjJn6Hhb
5595,🌼 Back to our roots with authentic mango chia sundae - it’s a delicious dessert new on our menu 🍨 👌🏼Thanks for your… https://t.co/TNcOROlWzV
5596,"RT @AksharPathak: Hey guys, we at @Zomato (me mostly, I'm a great team player) have been working on some outdoor ads. If you spot one in yo…"
5597,Tricky question. I end up dealing with Zomato customer service at least twice a month and they're very helpful. But… https://t.co/u7qUmPSa2o
5598,"RT @AksharPathak: Hey guys, we at @Zomato (me mostly, I'm a great team player) have been working on some outdoor ads. If you spot one in yo…"
5599,I love Swiggy.
5600,@Zomato @ZomatoIN @faasos @Help_at_Faasos @consumerforum_... Point to be noted that the it's 2:15 PM and no deliver… https://t.co/SUuTLn6OKl
5601,RT @kewalramani_s: @ZomatoIN Really disappointed to see you guys change your rules for Zomato Gold. First you guys request us to invite our…
5602,RT @sanwat: So Zomato first lured everyone in with Zomato gold and now have changed their policies regarding use mid way. Effectively the b…
5603,"RT @roochmaterial: WTF @ZomatoIN you can’t just change your policies after we have purchased #zomatogold 
Low blow. 
Do it for the new cust…"
5604,"RT @pranaygupta08: Need some tips on how to cheat?
Contact @ZomatoIN :)
Well played Zomato👏👏
First do crazy publicity followed by change in…"
5605,RT @SuvrajBhurjee: ⁦@Zomato⁩ ⁦@ZomatoIN⁩ ⁦@zomatocare⁩ ⁦@ZomatoGold⁩ look who went back on their own words! #zomatogoldcheater #zomatogold…
5606,"@lady_gabbar Both have amazing Customer Service, but Swiggy is better in solving problems, all I hear from Zomato e… https://t.co/PhDNE5VdNW"
5607,RT @imhozaifa: @ZomatoIN @MarriottSTEPune #fraudZomato #ZomatoCheater beware don’t waste your money on zomato gold. @Zomato @ZomatoIN @Zoma…
5608,@srinivasanravi @dinakaran @Zomato @YouTube @swiggy_in Why not @foodpandaIndia ?
5609,"RT @Vincentval_: Sign this petition if you feel cheated by Zomato. https://t.co/YcLhOnvVLN
#zomatogoldcheater #ZomatoGold"
5610,"Can this get more ridiculous!
In the past less than a day, 4 of my orders have been cancelled by the restaurant. It… https://t.co/XXMAW2o97c"
5611,@TangledMemoria @swiggy_in @ZomatoIN Or maybe the restaurant people just wrap it whatever tape they can find. Eithe… https://t.co/405nTBhsLY
5612,"@AnadiRajTiwari @ZomatoIN @Zomato Hi Anadi, we understand your disappointment with the Zomato Gold services. Please… https://t.co/PsjvQTFJbM"
5613,@isackhandekar @Zomato @ZomatoIN @Help_at_Faasos @consumerforum_ I am really sorry for such experience. Please shar… https://t.co/PIIBPWIf0t
5614,"@isackhandekar @ZomatoIN @Zomato @faasos @Help_at_Faasos Seems they are cooking ""something special""

Kindly share y… https://t.co/Fn9TtL7K1R"
5615,@jainkaran5 @goairlinesindia @goairlinesindia  free advice for you must hire agents like swiggy they have great cus… https://t.co/Gdqr8rxXbo
5616,"@SwiggyCares Do some work you Guys! Check my profile - it will be from Rhea virmani! 
 Time to pull up socks #swiggy"
5617,RT @sijokuruvilla: Our Recipe book from Cochin gets featured on the store (yet again). And this time alongside Swiggy &amp; Tomato. Good stuff…
5618,RT @ETPrime_com: Ola's Bhavish Aggarwal wants another bite of India's USD750 million food delivery market. His first one - #Ola Cafe - didn…
5619,@TangledMemoria @swiggy_in @ZomatoIN yeah that happens too. Kind of breaks the trust no? Like I trust zomato etc to… https://t.co/Ak5ngg2IOW
5620,"RT @mid_day: #ZomatoUsers Furious After Gold Membership Usage Gets Tweaked By App

@ZomatoIN
@Zomato

#zomatogoldcheater
#zomatogold

https…"
5621,"#FoodPanda - Get food under 100 at Re.1/-

Use code : QUICKIE

Link : https://t.co/4I57vs8vAC"
5622,@foodpandaIndia @sureshpprabhu @TOIIndiaNews @htTweets @the_hindu @republic @ANI @aajtak @abpnewstv more frauds of… https://t.co/rM48RCqxkF
5623,@sambitbal @alphonsolife @rameshsrivats @ESPNcricinfo Agree. But ads should not be irritating. Don't mind more ads like Swiggy
5624,@PMOIndia @BJP4India @ndtv
5625,@zomatocare @ZomatoIN @Zomato @faasos @Help_at_Faasos @ZomatoIN I received the order just now but really you guys m… https://t.co/J3wMVLvdCp
5626,AmeraDeals: Foodpanda- Get Rs. 100 off on food order (No Minimum Purchase Required) (Selected Location): https://t.co/iltX5uFX9O
5627,FoodPanda Loot- Get Food Under Rs 100 at just Rs 1 (First 5000 Customers) https://t.co/AlWdJI7uwG https://t.co/Zgg5N9p1BN
5628,RT @TangledMemoria: So i ordered from @ZomatoIN today for @SUBWAY and they used this tape which i feel basically is from @swiggy_in and the…
5629,@Zomato order placed at theobroma. Due to lack of a carry bag I sent the order back and they sent it like this ( in… https://t.co/YI5gyGwueT
5630,"RT @Amazondeals360: #FoodPanda - Get food under 100 at Re.1/-

Use code : QUICKIE

Link : https://t.co/4I57vs8vAC"
5631,"Foodpanda New Users - ₹100 off on purchase of ₹275+
Coupon code – TIMESFP

This offer is valid only for new custome… https://t.co/xkdTqKXpOH"
5632,"Hey, join Zomato Gold and get 1+1 on food or 2+2 on drinks. Also get a 20% OFF using my referral code SANJ69947 her… https://t.co/yAxrDsZkiK"
5633,"RT @BestLootDeal: Foodpanda New Users - ₹100 off on purchase of ₹275+
Coupon code – TIMESFP

This offer is valid only for new customers.
Ge…"
5634,"Eating healthy looks good on you! Smoothie Factory wishes all #HappyGaneshChaturthi 

 #SmoothieFactoryMumbai… https://t.co/HTFRBCVabT"
5635,FoodPanda Loot- Get Food Under Rs 100 at just Rs 1 (First 5000 Customers) https://t.co/isJS1w3wzr
5636,"This photo of Dilli 6 On Wheels, Sector 31, Gurgaon on @Zomato is making me hungry! — https://t.co/PEtBB1Lj27"
5637,"@nidhi2702791 @Zomato Well, don't want anyone to mess with my brownies.
We are getting this checked and we'll reach out to you ASAP!
-AM"
5638,"RT @mid_day: #ZomatoUsers Furious After Gold Membership Usage Gets Tweaked By App

@ZomatoIN
@Zomato

#zomatogoldcheater
#zomatogold

https…"
5639,Foodpanda- Get Rs. 100 off on food order (No Minimum Purchase Required) (Selected Location) https://t.co/3ndOWmwmTS
5640,@foodpandaIndia Any update. Still waiting. Very bad experience with foodpanda
5641,"FoodpandaSpecailOffersScam!
@FoodPanda is trying to copy the @SwiggyCares model here. But it's just a scam. They'll… https://t.co/2wUJdhEEpZ"
5642,@zomatocare hello I have ordered from zomato and the order went to the dominos outlet that is like 30 km away from… https://t.co/NiAGWCXoE1
5643,alternate headline: freeloaders get mad when free shit gets taken away. how sad
5644,"@DevyashB @ZomatoIN Well, the Pizza clearly won't survive for 30 Kms.

Apologies for the chaos here. Kindly share t… https://t.co/2cEpdP85Bx"
5645,"Foodpanda Flat ₹100 Off (All Users)

Offer Code : QUICKIE"
5646,RT @forbes_india: Swiggy (@swiggy_in) launches sustainable food packaging marketplace: https://t.co/srPIZArsKb | By @panktimehta #Ecommerce…
5647,"@nirzary Never had to use swiggy customer service but zomato is dope...they are helpful and pretty punny👍😀
( PS :I… https://t.co/gxlWTvtOPp"
5648,"Thanks @Zomato
43Rs ki Edi Echav ante 🤗🤗 https://t.co/boQP1veFHZ"
5649,RT @BestLootDeal: Still working RT and Share https://t.co/0T88xjOBTZ
5650,Humans of late capitalism
5651,"RT @OnlineDeals_IN: Foodpanda Flat ₹100 Off (All Users)

Offer Code : QUICKIE"
5652,"RT @ankitrex46: #ZOMATO order no : 1279830812 , the delivery guy said he will not deliver the food, please refund the money back . #SCAM #Z…"
5653,"RT @BestLootDeal: Foodpanda New Users - ₹100 off on purchase of ₹275+
Coupon code – TIMESFP

This offer is valid only for new customers.
Ge…"
5654,@swiggy_in @UberEats_IND
5655,@ZomatoIN Renewed my Gold Service against my interest. @zomatocare is not even bothered to respond to my queries. T… https://t.co/qH5braFJe5
5656,"Authentic Taste Of Old Dilli
#dilli6onwheels
Order Online: 
https://t.co/jMzYxmcvWT
Delivery Partners: 
#Swiggy… https://t.co/XrEPqkfEsf"
5657,世界24ヵ国120万店舗を掲載！インド版食べログ「ZOMATO」が便利過ぎた https://t.co/OykAixncJ1
5658,FoodPanda Loot- Get Food Under Rs 100 at just Rs 1 (First 5000 Customers) https://t.co/H3wAy4WLw0
5659,@Zomato wow! 78 minutes for a route of under 2 Kilometers. https://t.co/MVBRGGuH21
5660,RT @joogasama: alternate headline: freeloaders get mad when free shit gets taken away. how sad https://t.co/Jk8Ge5V5zS
5661,"RT @sandeep_PT: Dear #UberEATS #Swiggy #Zomato 

Can you guys ensure your agents don't break traffic rules when in rush?

Thanks."
5662,Priorities 🤣🤣🤣🤣
5663,@foodpandaIndia this is how you treat your customers who wait for 10 mins for the chat to get connected.I was promi… https://t.co/qPyqbQoSP2
5664,@oncojeanmd Hahaha foodpanda rakan! 😂
5665,"@NishikaMenezes @Zomato Calculating the time with speed and distance formula *9th std flashback*

Kindly share your… https://t.co/UkFE2Wjv3b"
5666,"Swiggyで鬼リピートしてる店来た。落ち着いてていい。 (@ Double Roti in Chennai, Tamil Nadu) https://t.co/9KRBGETmYL"
5667,@zomatocare @ZomatoIN DMed you -- no response as usual @deepigoyal @Zomato
5668,#foodpanda is the worst food app I have ever used. These suckers recieve payment and then don't deliver food and st… https://t.co/q9X6ULgVRz
5669,hey @foodpandaIndia how about you shut your company?! Can't even handle a simple delivery. Order is 2 hrs late and… https://t.co/ImH8HZB8ty
5670,"@prashanttop Hi, We intuit that distress has been caused to you and we completely bear the responsibility to fix th… https://t.co/62QAezdVhT"
5671,RT @TangledMemoria: So i ordered from @ZomatoIN today for @SUBWAY and they used this tape which i feel basically is from @swiggy_in and the…
5672,"@Ahmad69582313 Hi, We intuit that distress has been caused to you and we completely bear the responsibility to fix… https://t.co/Ausag0FIb1"
5673,@vkalpgupta @akshay_bhalotia @Zomato @ZomatoIN Pre-made. He meant pre-made.
5674,"@swiggy #swiggy #food #delivery
What is happening, with ur customer support.
1. Items are missing from my order
2.… https://t.co/yY3t0od2Pl"
5675,"Festivities and great food go hand in hand and we're delivering it to your doorstep 🔆

Order your bowl from #Zomato… https://t.co/FrXknJ43Ad"
5676,"@akshay_bhalotia @vkalpgupta @Zomato @ZomatoIN Cooking might not be what we can use for Ice cream, no? I'm thinking… https://t.co/ZJjjZ0hS04"
5677,"@FoodPanda 90min gone, rider still not assigned. Even support executive wont reply on time."
5678,"@Techglares Hello Techglare, ""Quick"" and ""QUICKIE"" are working . Team foodpanda!!  https://t.co/1zEoXjFr14"
5679,@Zomato @zomatocare  today I placed an order of Butter Chicken which included 6 pieces of chicken but I got deliver… https://t.co/zRfuHvAo3s
5680,Swiggy is now available in #Mysuru btw.
5681,@Zomato Not able to find Piggybank feature on the app. Can you help?
5682,"RT @foodpandaIndia: @Techglares Hello Techglare, ""Quick"" and ""QUICKIE"" are working . Team foodpanda!!  https://t.co/1zEoXjFr14"
5683,@zomatocare @ZomatoIN I Don't want order now. I am not going to use @ZomatoIN Now Onwards. I want the full name of… https://t.co/2sfRFodrvJ
5684,@elyotzaps Pwede magpadeliver sa foodpanda.
5685,"Biggest scams in India 
#VijayMallya 
#NiravModi 
#zomatogold 
@Zomato @ZomatoIN 

#dontfallforit
#Cheaters"
5686,You know why @foodpandaIndia popularity is going down and @swiggy_in popularity is going up because unlike foodpand… https://t.co/dwEBFNA4El
5687,"@devyanshu_verma Hi, We intuit that distress has been caused to you and we completely bear the responsibility to fi… https://t.co/3LXl8CwaJ0"
5688,Ahahahaha! Also I love the hashtags. My humble suggestion: #ZomatoNeChittingKiyaHai
5689,@elyotzaps Ay sayang. Dependent na ako actually kay foodpanda!
5690,@Zomato how can I help you update a menu on your site??
5691,@Zomato kindly don't pay online in zomato. As I already lost my money without getting my order delivered
5692,@itsmeRaghuNadh @Zomato Offer enti
5693,@foodpandaIndia very disappointed with the service i have received! Would never recommend foodpanda to anyone else
5694,3 pcs bhakhri not given as per Zomato description... @zomatocare https://t.co/ikqMM9Lpha
5695,RT @Zomato: Falling for great food? We'll detect it.🕵️ https://t.co/CmFRbErnRO
5696,"@foodpandaIndia 
Without any intimation foodpanda canceled my order.
Also not able to connect with customer care.
How can you do this?"
5697,"@rko0605 @Zomato Hi there, apologies for the hassle.

We have your details and we shall get this checked at the earliest.
-AM"
5698,@HotTollywood @Zomato 60%  coupon code : BITE
5699,".@zomatocare .@ZomatoIN .. Hey.. remember me from 3 days ago guys?  Guess what??? 

You just ripped me off again! K… https://t.co/lC9yu6NCwM"
5700,"@swagatacharya @ZomatoIN Hi Swagat! I understand your concern. However, we made this change to offer more choice an… https://t.co/zvpPBG6Wcu"
5701,Which is the worst food delivery App ? #protest @foodpandaIndia @swiggy_in @UberEats_IND @Zomato
5702,"@swiggy_in such shit this platform is. Ordered a food which got delivered in 2 hours, then they delivered the wrong… https://t.co/gBX36uKR6C"
5703,And to top things off.. .@Zomato refuses to talk to me now. https://t.co/Ij92LAp6w0
5704,https://t.co/eQlRE4uGRZ Cheats! These weren't the TnC's when I signed up for @ZomatoIN Gold :/
5705,"@foodpandaIndia Itni badi #chindichor company ki delivery boy bhi swiggy zomato ki use karti.
Aur kabhi bhi time pe… https://t.co/W5n3sUtjzR"
5706,Worst ever service by foodpanda. no delivery status for food order. cancelled 1st order after an hour and half. #foodpanda
5707,"Authentic Taste Of Old Dilli
#dilli6onwheels
Order Online: 
https://t.co/jMzYxmcvWT
Delivery Partners: 
#Swiggy… https://t.co/0e15bVVpwA"
5708,"Makan jaga kak, gout kan 😏"
5709,i was gonna order popeyes on zomato but baek posted i got distracted and now i checked again theyre currently close… https://t.co/HsnrHVtEbc
5710,"Taste@Dilli6 Style
Authentic Taste of Old Dilli 
#dilli6onwheels
Order Online: 
https://t.co/jMzYxmcvWT
Delivery Pa… https://t.co/fO2r7upNs4"
5711,"Taste@Dilli6 Style
Authentic Taste of Old Dilli 
#dilli6onwheels
Order Online: 
https://t.co/jMzYxmcvWT
Delivery Pa… https://t.co/vDCZbgJjzQ"
5712,@foodpandaIndia is keep cancelling my order better i should use @swiggy_in. unlike @foodpandaIndia Swiggy doesn't c… https://t.co/0UBNdxWk4w
5713,RT @Zomato: Falling for great food? We'll detect it.🕵️ https://t.co/CmFRbErnRO
5714,RT @ETPrime_com: Ola's Bhavish Aggarwal wants another bite of India's USD750 million food delivery market. His first one - #Ola Cafe - didn…
5715,"Have a look at this review of The Burger Brasserie, Andheri Lokhandwala, Andheri West, Mumbai on @Zomato — https://t.co/UceCD76vP5"
5716,"Hep mutlu sonla biten bir film 🎥 🌯🤗
#cips #hotshots #zomato #swarm #nekadarayenir #paketcenter #foursquare… https://t.co/jMetPOzaOu"
5717,"@AnindyaGhosal @ZomatoIN @zomatocare @Zomato Hi, Anindya! That wasn't the intention at all. Please DM me your detai… https://t.co/vtQoqpR2zw"
5718,@ZomatoIN I got a call from someone saying that he's from Zomato and he was asking to get GOLD membership and also… https://t.co/u9UhCgj3Z9
5719,@zomatocare @ZomatoIN I got a call from someone saying that he's from Zomato and he was asking to get GOLD membersh… https://t.co/8w6CXXQQrj
5720,"@arjun_singh1891 @ZomatoIN @Zomato Arjun, frankly it’s not that big a sum for me to be spending more time on it tha… https://t.co/nhPG8aI2u6"
5721,"@sidmadireddy @Venkrek @Zomato @swiggy_in @foodpandaIndia Agree on this 100%. Wrong side, rash driving seems to be… https://t.co/ToH08NXcxI"
5722,@RajaniAnkit Please try once again to place the order without the voucher and if it still does not work then we req… https://t.co/vahvUp4jaO
5723,RT @aditiraval: Hahhaa this is what happens when they are working in both the companies... Dekhna kahi #Uber book karo To #Ola na Aa jaaye😂…
5724,. Swiggy is much better than uber. No executive for help. Totally disappointed. #UberEATS #badservice https://t.co/m5YYTeiD6i
5725,It's more than 90 minutes @ZomatoIN @Zomato is still trying to deliver... https://t.co/DgZHYPW7XW
5726,"@swiggy @SwiggyCares @swiggy_in that was quick. Like instant resolution. Polite. Courteous and Customer oriented.
S… https://t.co/P1MWhKmNfe"
5727,RT @Akshat37989111: . Swiggy is much better than uber. No executive for help. Totally disappointed. #UberEATS #badservice https://t.co/m5YY…
5728,RT @kvQuote: It's more than 90 minutes @ZomatoIN @Zomato is still trying to deliver... https://t.co/DgZHYPW7XW
5729,"Charm your guests with delightful sweets this Ganesh Chaturthi!
Order from Swiggy to get Upto 25% off &amp; get an addi… https://t.co/Dc97EMIzXR"
5730,"@kvQuote @ZomatoIN @Zomato Thali hai Bhai,time lagega 😀😀"
5731,@Zomato @Zomato nice catch 😜
5732,@maneeshfilmdir @ZomatoIN @Zomato Lol
5733,Foodpanda Partner 3.1.2 https://t.co/PbO83OSoVH
5734,Swiggy made my fave dessert place inservicable in my area :(((
5735,"@kvQuote @ZomatoIN @Zomato Hi Kunal, that sounds like a lot for lunch.

We are getting this checked and we'll reach out to you ASAP!
-AM"
5736,i just want to eat my teppei foodpanda why you do this to me
5737,@Zomato @ZomatoIN @zomatocare I had placed an order yesterday and food was stale. Was very tired so initiated the… https://t.co/SfrAaRslJq
5738,"@zomatocare @CafeCoffeeDay @getamitroy @ZomatoIN @inconsumerforum CCD sector 4, salt lake, Kolkata- 1289220839 - ba… https://t.co/pbiZXztsKe"
5739,"Another order is pending from 50 mins, still no delivery person assigned. #nodelivery #foodpanda"
5740,Zomato: Zomato take back the unethical Zomato Gold rule amendment. - Sign the Petition! https://t.co/znxnxlvBSU via @ChangeOrg_India
5741,RT @srivatsa224: Swiggy is now available in #Mysuru btw.
5742,@zomatocare @Zomato @deepigoyal sir need your intervention in it as I am not getting any proper support from the team @ZomatoIN
5743,@foodpandaIndia  in my city only one reestarunt availabel .I ordered item but he decline every time.i called him he… https://t.co/gOI9vt7D7Q
5744,Introduced my mom to the wonders of FoodPanda
5745,"@riteshsingh8080 Hi, We intuit that distress has been caused to you and we completely bear the responsibility to fi… https://t.co/PMCuKx9B1M"
5746,Worrest service @foodpandaIndia @foodpanda
5747,Use swiggy #swiggy ( though at times it's costly). Don't use zomato .. their services and customer support are path… https://t.co/QCGVv5kWYK
5748,Customers of its Gold membership programme are furious with change that limits the number of users on the same tabl… https://t.co/GHvzXfU04O
5749,"@swiggy_in @nandanreddy @SwiggyCares order id 19901635475 .order delayed by more then 30 min . Called Swiggy,asked… https://t.co/S4e5d6pTzr"
5750,@DasguptaTatha @UfterYou @swiggy_in Swiggy reacts like as if you woke them up from their slumber. In swiggys own wo… https://t.co/RDugJcdSZ0
5751,"@CSrujan_ Hi, We intuit that distress has been caused to you and we completely bear the responsibility to fix this… https://t.co/BB7yI8THvi"
5752,@shivi1790 @UfterYou @McDonalds @swiggy_in @foodsafetygov @JagoGrahakJago_ @jagograhakjago They made money from you… https://t.co/Fomx7UFmKU
5753,"QUICK code is still working
₹150 off on no min order."
5754,RT @Zomato: Falling for great food? We'll detect it.🕵️ https://t.co/CmFRbErnRO
5755,@foodpandaIndia Cheaters. I will pray that your company face huge huge lose. You do not treat your customers well.… https://t.co/ApFDzmcPpw
5756,"FoodPanda Discount coupons
Try Both 
One should work 
“Quick” and “QUICKIE”"
5757,@foodpandaIndia Happened twice in two days. Foodpanda canceks my order post payment so that i can not use codes again.
5758,"@swiggy_in @SwiggyCares @nandanreddy dont want to again start from beginning . Call manager,get details,then give a… https://t.co/PU2HmV2q9K"
5759,RT @Arkratos_com: Tired of seeing biased lists.. whether its @IMDb or @Zomato Let's find out how #Token Curated Registries aka #TCR help to…
5760,@zomatocare @Zomato No worries! Got my order. Guess some technical glitch. It was too funny n had to share it!
5761,@foodpandaIndia u r waste no order from foodpanda from now...@SwiggyCares @ZomatoIN are far far better than u...my… https://t.co/3RD56PhAvb
5762,"*** Only resolution swiggy knows is ""We hav taken feedback that you will not eat food """
5763,"Typo error - Only resolution swiggy knows is ""We hav taken feedback that you will not eat food """
5764,"Opulent seating and precious jewelry, decorating the walls — at Jewel of Nizam, Hyderabad, you can give into the te… https://t.co/Stzlg5A9Fo"
5765,RT @Pacific_hotels: Explore the widest range of delicious food from Pacific Hotel Dehradun. Call now to order via Zomato from Paradise Rest…
5766,@nikhilcoool06 @foodpandaIndia I think by this way Foodpanda is decreasing its customer base as they are not able t… https://t.co/i4MsESZ0Kg
5767,@NishikaMenezes @Zomato How long did he take though??!
5768,RT @kvQuote: It's more than 90 minutes @ZomatoIN @Zomato is still trying to deliver... https://t.co/DgZHYPW7XW
5769,@__halfgeek__ @Zomato Just 15 minutes 😂
5770,"#facts #whizzo #cafe 😊😊
.
.
Follow us @whizzo_co
#9999016406
.
.
 #foodlover #foodloverunite #diet #dietchart… https://t.co/5PYDPvO5AS"
5771,RT @BestLootDeal: Still working RT and Share https://t.co/0T88xjOBTZ
5772,@mich_h Zomato 😂
5773,RT @naviin_goel: @rkalia80 @NitinKumar126 @TimesNow @the_hindu @HT_UttarPradesh @ArvindKejriwal @ndtv @ANI https://t.co/B0SPKEjnu9
5774,"RT @whizzo_co: #facts #whizzo #cafe 😊😊
.
.
Follow us @whizzo_co
#9999016406
.
.
 #foodlover #foodloverunite #diet #dietchart #dietplan #foo…"
5775,"Gunpowder, Assagao, Goa - Zomato
https://t.co/9gcWTAYSNO"
5776,"The Business Times Last Weekend

""Rider supply is the greatest challenge in Singapore as all riders are freelancers… https://t.co/n2NTd4iifT"
5777,"【バンコク】Foodpandaで食べ物デリバリーしてみた【フードパンダ】 Food panda delivery in Bangkok, Thailand〔#32〕
https://t.co/KGm51W8vO6"
5778,"RT @whizzo_co: #facts #whizzo #cafe 😊😊
.
.
Follow us @whizzo_co
#9999016406
.
.
 #foodlover #foodloverunite #diet #dietchart #dietplan #foo…"
5779,"@mahesh10816 There are other restaurants which I have NOT tried.
https://t.co/QMj07tt28j"
5780,"@zomatocare 8527247745 
For absurd reason my account has been blocked by Zomato and my money is still there which h… https://t.co/qefD4TWCPK"
5781,"@zomatocare @AviShah04 8527247745 
For absurd reason my account has been blocked by Zomato and my money is still th… https://t.co/sjOnTunqrW"
5782,"@zomatocare @kvQuote @ZomatoIN @Zomato 8527247745 
For absurd reason my account has been blocked by Zomato and my m… https://t.co/YGH1HLzYnO"
5783,"@ZomatoIN 8527247745 
For absurd reason my account has been blocked by Zomato and my money is still there which has… https://t.co/ZAmxG9YbWK"
5784,@foodpandaIndia @sureshpprabhu @CPDelhi @the_hindu @republic @htTweets @TOIIndiaNews @aajtak @abpnewstv new low for… https://t.co/2OX1HB5ARe
5785,Zomato: Zomato take back the unethical Zomato Gold rule amendment. - Sign the Petition! https://t.co/I1ESMBsluh via @ChangeOrg_India
5786,@nikhilaro @nikhilcoool06 @foodpandaIndia @Olacabs (2/2) and not even replying to tweets and msgs.. Learn from… https://t.co/LxwHXj9Hnc
5787,@foodpandaIndia since when Foodpanda started serving vegetarian Chicken?? https://t.co/gr4Jm66jAX
5788,@zomatocare @ZomatoIN @Zomato YesterdayI had received a call assuring that my issue will be resolved on priority an… https://t.co/tBarecoYSc
5789,@foodpandaIndia @CSrujan_ Chor foodpanda
5790,I reviewed https://t.co/RESkOUqIC6 1/5. Earn Rs.20 per review #WriteShareWin https://t.co/3dKD8Vnjc7 via @MouthShut
5791,JazzCash Digitalizes foodpanda’s Rider Payments https://t.co/bt77zS4Lce
5792,@foodpandaIndia @sureshpprabhu @CPDelhi @mlkhattar @PMOIndia @arunjaitley @gurgaonpolice @htTweets @HTGurgaon pisce… https://t.co/FChrWC5cB6
5793,"@ola_supports @Olacabs @UfterYou 
Not working. ........

Only 4 u! Get flat 40% off upto 100 on Foodpanda (use Ola… https://t.co/1EqnOHMLj2"
5794,Get ₹100 OFF on your first meal on Zomato. Apply promo code PRIN85043 during checkout on a minimum order of ₹300.
5795,Food panda are cheats and action must be taken against its promoters. @swiggy_in @UberEats_IND
5796,RT @BiswajitHalder_: What a shameful service provide by @zomatocare @deepinder you brake religion of vegetarians people . @aajtak @TOIIndia…
5797,"Whenever i get deliveroo/foodpanda orders, i will always make a drink for the rider. It’s great to see them all happy &amp; shit."
5798,@foodpandaIndia @sureshpprabhu @mlkhattar pisces eservices pvt ltd having https://t.co/aiPg35D6qz dont have any con… https://t.co/3sHJQK68rF
5799,#HappyGaneshChaturthi #GanpatiBappaMorya #ArunJaitleyStepDown #GaneshUtsav #mumbai #GaneshaChaturthi #jaipur… https://t.co/jW7s4hra3E
5800,@nikhilaro @foodpandaIndia Once there was offer of 1+1 on dominos just on Foodpanda but even with 10tries not able… https://t.co/euS0WY2nBA
5801,"@foodpandaIndia It's just a food ordering company, what can I do with it. And what about my number, why should keep… https://t.co/G2kKF2j3tY"
5802,"RT @1LogicalBastard: गदहों का पुर्नजन्म होता है,
वो Zomato के यूट्यूब चैनल का सब्सक्राइबर बन कर पैदा होते हैं..! 😂🙏"
5803,@nikhilcoool06 @foodpandaIndia Let's all boycott FOODPANDA
5804,@zomatocare @Zomato Didn't get what was committed!
5805,frankie's not available on foodpanda is the worst!
5806,"RT @1LogicalBastard: गदहों का पुर्नजन्म होता है,
वो Zomato के यूट्यूब चैनल का सब्सक्राइबर बन कर पैदा होते हैं..! 😂🙏"
5807,"@hero_cycles damn!! That's a huge hit too all.
.
.

genius!
#Mbastuff #mba #zomato #appleiphone #iphone .
.… https://t.co/RRAk5CHPMt"
5808,"@foodpandaIndia @CPDelhi @arunjaitley @sureshpprabhu online cheating by foodpanda ie piesces e services pvt ltd, gu… https://t.co/GRT8hjg3K5"
5809,JazzCash Digitizes foodpanda’s Rider Payments - https://t.co/2iCFFQLaqe https://t.co/DqpPkIJ8j4
5810,@UberEats_IND @swiggy_in @the_hindu @aajtak @abpnewstv @republic @ndtv @sardanarohit
5811,Zomato wale bekaar hain✋
5812,RT @indianrecipeon: #HappyGaneshChaturthi #GanpatiBappaMorya #ArunJaitleyStepDown #GaneshUtsav #mumbai… https://t.co/yuiiIZe2JD
5813,@foodpandaIndia looks like you guys don't want to refund my money. No one answers if I try your in-app chat. Never… https://t.co/G1SU6n2GTt
5814,"@consumercourtin @consumer @foodpandaIndia @SwiggyCares @swiggy_in @MoHFW_INDIA @ndtv @ZomatoIN @zomatocare 
SWIGGY… https://t.co/n1jGVAu4MH"
5815,"It's all well to be able to survive on idly/dosa/roti-daal-sabzi/curd rice etc on a normal day, and its perfectly p… https://t.co/vv68SjQpNc"
5816,@foodpandaIndia BTW THE Swiggy order came with your sticker too
5817,"@ZomatoIN @Zomato here you can see the horrendous reply assistant of @zomatocare .
They only want make money at any… https://t.co/C2chCkzP7c"
